User: USER,,,,
Path: C:\Program Files (x86)\BMG\Omega\User\Data\,,,,
Test ID: 159,,,,
Test Name: CDI,,,,
Date: 13/04/2021,,,,
Time: 16:47:01,,,,
Time resolved fluorescence (TRF),,,,
,,,,
,,,,
"Well
Row","Well
Col",Group,Content, Raw Data (TREX/615-10)
A,1,A,Blank B,0
B,1,A,Sample X1,103
C,1,A,Sample X1,131
D,1,A,Sample X1,149
E,1,B,Sample X1,4601
F,1,B,Sample X1,7456
G,1,B,Sample X1,9364
H,1,A,Blank B,0
A,2,A,Blank B,3
B,2,A,Sample X2,62
C,2,A,Sample X2,82
D,2,A,Sample X2,66
E,2,B,Sample X2,1962
F,2,B,Sample X2,3461
G,2,B,Sample X2,2467
H,2,A,Blank B,0
A,3,A,Blank B,2
B,3,A,Sample X3,37
C,3,A,Sample X3,49
D,3,A,Sample X3,20
E,3,B,Sample X3,1667
F,3,B,Sample X3,1847
G,3,B,Sample X3,2376
H,3,A,Blank B,1
A,4,A,Blank B,1
B,4,A,Sample X4,25
C,4,A,Sample X4,18
D,4,A,Sample X4,15
E,4,B,Sample X4,63
F,4,B,Sample X4,40
G,4,B,Sample X4,53
H,4,A,Blank B,2
A,5,A,Blank B,2
B,5,A,Sample X5,3855
C,5,A,Sample X5,4329
D,5,A,Sample X5,4093
E,5,B,Sample X5,3109
F,5,B,Sample X5,5775
G,5,B,Sample X5,7036
H,5,A,Blank B,0
A,6,A,Blank B,2
B,6,A,Sample X6,110
C,6,A,Sample X6,68
D,6,A,Sample X6,88
E,6,B,Sample X6,3751
F,6,B,Sample X6,3178
G,6,B,Sample X6,3437
H,6,A,Blank B,3
A,7,A,Blank B,2
B,7,A,Sample X7,73
C,7,A,Sample X7,86
D,7,A,Sample X7,108
E,7,B,Sample X7,2012
F,7,B,Sample X7,3218
G,7,B,Sample X7,3065
H,7,A,Blank B,1
A,8,A,Blank B,2
B,8,A,Sample X8,24
C,8,A,Sample X8,58
D,8,A,Sample X8,30
E,8,B,Sample X8,2252
F,8,B,Sample X8,2914
G,8,B,Sample X8,4786
H,8,A,Blank B,5
A,9,A,Blank B,2
B,9,A,Sample X9,17
C,9,A,Sample X9,18
D,9,A,Sample X9,15
E,9,B,Sample X9,1073
F,9,B,Sample X9,815
G,9,B,Sample X9,1078
H,9,A,Blank B,1
A,10,A,Blank B,8
B,10,A,Sample X10,7
C,10,A,Sample X10,10
D,10,A,Sample X10,10
E,10,B,Sample X10,42
F,10,B,Sample X10,25
G,10,B,Sample X10,84
H,10,A,Blank B,1
A,11,A,Blank B,1
B,11,B,Standard S1,7300
C,11,B,Standard S1,4381
D,11,B,Standard S1,2822
E,11,B,Standard S3,6311
F,11,B,Standard S3,4335
G,11,B,Standard S3,9177
H,11,A,Blank B,2
A,12,A,Blank B,0
B,12,B,Standard S2,12447
C,12,B,Standard S2,9938
D,12,B,Standard S2,9876
E,12,B,Standard S4,10329
F,12,B,Standard S4,9349
G,12,B,Standard S4,13651
H,12,A,Blank B,0
